name,name group,lowlevel.spectral_centroid.mean,lowlevel.spectral_centroid.max,lowlevel.spectral_centroid.min,lowlevel.spectral_centroid.stdev,lowlevel.spectral_flux.max,lowlevel.spectral_flux.mean,lowlevel.spectral_flux.min,lowlevel.spectral_flux.stdev,lowlevel.spectral_rms.max,lowlevel.spectral_rms.mean,lowlevel.spectral_rms.min,lowlevel.spectral_rms.stdev,lowlevel.spectral_spread.max,lowlevel.spectral_spread.mean,lowlevel.spectral_spread.min,lowlevel.spectral_spread.stdev,lowlevel.zerocrossingrate.max,lowlevel.zerocrossingrate.mean,lowlevel.zerocrossingrate.min,lowlevel.zerocrossingrate.stdev,lowlevel.barkbands_flatness_db.max,lowlevel.barkbands_flatness_db.mean,lowlevel.barkbands_flatness_db.min,lowlevel.barkbands_flatness_db.stdev,lowlevel.erbbands_flatness_db.max,lowlevel.erbbands_flatness_db.mean,lowlevel.erbbands_flatness_db.min,lowlevel.erbbands_flatness_db.stdev,lowlevel.melbands_flatness_db.max,lowlevel.melbands_flatness_db.mean,lowlevel.melbands_flatness_db.stdev,lowlevel.melbands_flatness_db.min,centroid,effectiveduration,logattacktime.logpoint1,logattacktime.logpoint2,logattacktime.logpoint3,logattacktime.decimalpoint1,logattacktime.decimalpoint2,logattacktime.decimalpoint3,
fltu_gref_mf_sol5_12,wind,1562.3480224609375,5121.71533203125,540.138916015625,269.6362609863281,0.17730015516281128,0.006399298552423716,0.00017464079428464174,0.012903031893074512,0.009561480022966862,0.004814284387975931,2.4282124400087923e-07,0.0027128146030008793,16576172.0,2650004.0,458674.15625,2476611.0,0.47021484375,0.07152580469846725,0.00048828125,0.03433297574520111,0.6828168630599976,0.5275919437408447,0.08100863546133041,0.14594371616840363,0.6984277963638306,0.5439512729644775,0.03936707600951195,0.18424098193645477,0.7029705047607422,0.5564162135124207,0.12142367660999298,0.0748315081000328,0.5009854435920715,7.634331226348877,-1.4791942834854126,0.48535147309303284,0.5185260772705078,0.03317460163594168,3.057394451502537,3.300092227640495,
gui_gref_a_mf_sol2_12,string,491.00439453125,2014.0533447265625,237.9929656982422,219.0860137939453,0.31249797344207764,0.008365270681679249,6.513289554277435e-05,0.030665520578622818,0.015067128464579582,0.0012334778439253569,4.610302255514398e-07,0.002741527510806918,18086934.0,2896489.0,310804.53125,2568624.25,0.17626953125,0.02550841122865677,0.00048828125,0.021121522411704063,0.4875308573246002,0.3565903306007385,0.057429831475019455,0.08735746890306473,0.5158203840255737,0.33839309215545654,0.05164153501391411,0.13044297695159912,0.6108452081680298,0.47186005115509033,0.09288895130157471,0.11428797245025635,0.3232995271682739,1.7018593549728394,-1.0076498985290527,0.311201810836792,0.4094557762145996,0.09825396868481863,2.0473958131573062,2.567176781676958,
gui_gref_b_mf_sol3_12,string,591.800537109375,2957.939453125,392.04144287109375,484.6977233886719,0.3723317086696625,0.006274513900279999,6.78523356327787e-05,0.028235726058483124,0.01471027173101902,0.001411798526532948,2.4661790387625615e-09,0.002732807770371437,35384668.0,3670688.0,365333.9375,3474792.0,0.50732421875,0.024669401347637177,0.00732421875,0.03643743321299553,0.6701652407646179,0.4667566418647766,0.018724888563156128,0.14637643098831177,0.6018702387809753,0.40924105048179626,0.06818097084760666,0.16314949095249176,0.7615123987197876,0.5685839653015137,0.14940622448921204,0.04971170425415039,0.33745405077934265,1.7839909791946411,-1.3162630796432495,0.31278911232948303,0.36106574535369873,0.04827662713738616,2.054892524979939,2.2964962752143654,
gui_gref_d_mf_sol2_12,string,539.470947265625,1598.8375244140625,311.9283447265625,161.90936279296875,0.22812287509441376,0.005186785012483597,0.00010171392932534218,0.019184473901987076,0.012127766385674477,0.0011907975422218442,9.936153588796515e-08,0.0024141741450875998,23230368.0,3165030.25,324380.5625,2792893.25,0.0537109375,0.022245673462748528,0.005859375,0.007816917262971401,0.5137997269630432,0.3745661675930023,0.11369923502206802,0.10123555362224579,0.5266061425209045,0.35442325472831726,0.04962097853422165,0.14023777842521667,0.62410968542099,0.48333504796028137,0.10755220800638199,0.20164217054843903,0.2997663915157318,1.8504761457443237,-0.9172226786613464,0.3995918333530426,0.5205895900726318,0.12099775747257009,2.509526773115036,3.3158096418494383,
gui_gref_d_mf_sol3_12,string,462.12030029296875,1840.4521484375,358.727294921875,195.88485717773438,0.3505350649356842,0.0069245873019099236,6.17264086031355e-05,0.03094252571463585,0.01276483479887247,0.001276258728466928,5.808687433273008e-07,0.002589855808764696,21555158.0,3588188.25,393068.5,2974115.0,0.14013671875,0.020128972828388214,0.00244140625,0.015388032421469688,0.6665858030319214,0.4635000228881836,0.05933399125933647,0.1418277770280838,0.5999028086662292,0.4083862602710724,0.07340823113918304,0.15079627931118011,0.7720924615859985,0.5586196780204773,0.14559313654899597,0.1376977562904358,0.35892757773399353,1.6975964307785034,-1.364999771118164,0.2091156393289566,0.2522675693035126,0.043151930424696734,1.6185109402013178,1.787588570921106,
gui_gref_el_mf_sol1_12,string,286.0105895996094,1059.7325439453125,181.66697692871094,123.27162170410156,0.2167983502149582,0.008408740162849426,0.0008232182590290904,0.021647857502102852,0.010686921887099743,0.0020085743162781,3.64055777026806e-05,0.0024035165552049875,7701673.5,1677065.0,232245.25,1457030.5,0.0400390625,0.008498793467879295,0.001953125,0.00544133922085166,0.5821287035942078,0.45954111218452454,0.1819058060646057,0.05603408440947533,0.4508799612522125,0.3532620966434479,0.06720970571041107,0.0816897377371788,0.6719608902931213,0.5956859588623047,0.06627141684293747,0.2646966576576233,0.3464154303073883,1.9583446979522705,-0.8846197128295898,0.258049875497818,0.3884807229042053,0.13043083878105266,1.8115481235302522,2.446136696596709,
gui_gref_el_mf_sol2_12,string,465.4765930175781,1260.5052490234375,266.5583190917969,157.17120361328125,0.6068606972694397,0.01360190100967884,0.00018430942145641893,0.05460252985358238,0.020900359377264977,0.0012073377147316933,1.4339485687742126e-06,0.0034179699141532183,12779378.0,3934619.25,357995.1875,2766533.0,0.06396484375,0.01971576176583767,0.00146484375,0.009742026217281818,0.5030807256698608,0.34080904722213745,0.09476662427186966,0.0820222869515419,0.46607106924057007,0.28418686985969543,0.05510156974196434,0.13184936344623566,0.6158732771873474,0.44860559701919556,0.08586324751377106,0.20165583491325378,0.31009945273399353,1.6292062997817993,-1.0468530654907227,0.20614512264728546,0.29591837525367737,0.08977324722450879,1.6074783138001076,1.9765981076874568,
gui_gref_e_mf_sol3_12,string,694.8336181640625,2450.341796875,342.36737060546875,381.3658447265625,0.2773779630661011,0.006847662851214409,0.0003486042551230639,0.024044902995228767,0.010520120151340961,0.0008838833891786635,1.6220043974612963e-08,0.0020126085728406906,26913724.0,4939355.5,622640.5,3062059.75,0.47412109375,0.021572129800915718,0.00048828125,0.03262674808502197,0.6452187299728394,0.3835380971431732,0.0568871833384037,0.09313341230154037,0.4811283349990845,0.2631382346153259,0.06966961920261383,0.1387631595134735,0.7113865613937378,0.4730052947998047,0.0901109129190445,0.15004442632198334,0.3143845498561859,1.6968934535980225,-1.182940125465393,0.21222221851348877,0.2778457999229431,0.06562357328005218,1.6301299193275016,1.8960325986267692,
gui_gref_e_mf_sol4_12,string,1139.0372314453125,2679.272705078125,185.6972198486328,435.3995666503906,0.2883143126964569,0.010186665691435337,0.0003825590538326651,0.033211849629879,0.010307428427040577,0.0010125682456418872,8.148075721692294e-06,0.0020457489881664515,23564138.0,5067451.0,850593.0,2855385.75,0.10888671875,0.03291645646095276,0.00244140625,0.015196685679256916,0.5487473011016846,0.3209695518016815,0.09024225175380707,0.09469220787286758,0.52585768699646,0.2719194293022156,0.07434100657701492,0.16068710386753082,0.5950304269790649,0.39938855171203613,0.09257876873016357,0.17901064455509186,0.37370237708091736,1.6543763875961304,-1.3350213766098022,0.19117914140224457,0.23741497099399567,0.04623582628889997,1.553027483556311,1.7274877285827053,
gui_gref_g_mf_sol2_12,string,406.7762145996094,952.1903076171875,301.7544250488281,69.791015625,0.14743897318840027,0.00553335715085268,9.69659595284611e-05,0.015697691589593887,0.01003427803516388,0.0016510839341208339,6.460469936797608e-09,0.0022508613765239716,28573714.0,2174536.75,267502.03125,2408293.5,0.48388671875,0.019657257944345474,0.00146484375,0.03171588480472565,0.6156169772148132,0.5069459676742554,0.03297610580921173,0.08558376133441925,0.5781748294830322,0.4874418377876282,0.05332767590880394,0.10662602633237839,0.7289077639579773,0.6291469931602478,0.09245097637176514,0.1081116572022438,0.334151953458786,1.9968934059143066,-0.9018704891204834,0.19315192103385925,0.31850340962409973,0.12535149296722217,1.5600981470463995,2.0821087516868713,
